"","name","ses.mean","ses.sd","race.mean","race.sd","N"
"1","Geoffrey",73.7222222222222,20.049367176622,30.9047619047619,27.0701029955646,18
"2","Sebastian",61.6875,24.3549276328221,35.0588235294118,26.5952782186878,16
"3","Carter",73.2173913043478,20.3334845239417,26.25,23.075760891913,23
"4","Neil",65.3333333333333,20.9244673369081,22.3846153846154,22.476791449096,21
"5","Frances",60.6315789473684,25.1290237824176,35.0952380952381,29.4939057466195,19
"6","Franklin",67.7692307692308,22.3146726479376,34.4444444444444,27.8627588966587,26
"7","Theodore",68.1,16.104592349291,35.5909090909091,25.6100037948512,20
"8","Abraham",52.5416666666667,23.8545942465318,31.6,26.5218876838695,24
"9","Johnson",61.9333333333333,17.4661577534003,38.0952380952381,31.7252340604522,15
"10","Hunter",59.6842105263158,26.1131142693112,18.1935483870968,16.6601707771133,19
"11","Jimmy",51.44,26.4087737945807,30.0357142857143,24.9406438225984,25
"12","Willy",44.0454545454545,23.8197142694615,34.1538461538462,28.0723241755182,22
"13","Milo",52.25,22.1546597213413,32.5909090909091,19.8941462816844,20
"14","Felix",57.1111111111111,23.4944020588858,37.2916666666667,21.4546623425279,18
"15","Smith",72.0714285714286,19.4677812165256,22.0588235294118,19.4598001924329,14
"16","Roger",67.9,27.9716021406674,26.2692307692308,24.1637045045791,20
"17","Joe",64.4347826086957,24.6536482399969,27.88,18.5299757150408,23
"18","Vinnie",51.44,19.1986978725121,34.6153846153846,27.2896711934416,25
"19","Bob",54.04,27.4704083211978,14.0645161290323,14.2920385386899,25
"20","Bobbie",52.9285714285714,16.3022616916714,36.5263157894737,16.1430013079374,14
"21","Jermaine",45.8695652173913,25.6768455082963,77.3333333333333,19.8945134815272,23
"22","Jamal",36.1666666666667,24.0646877270888,81.8648648648649,19.2197267904072,30
"23","Tyrone",34.6086956521739,20.0742692167107,82.5833333333333,16.8783462290762,23
"24","Cameron",53.9523809523809,27.7731456455263,43.1739130434783,27.6152990764722,21
"25","Jayden",57.6666666666667,19.7344692191687,60.0344827586207,26.9834377226114,24
"26","Elijah",66.2666666666667,20.9470989013026,51.4444444444444,28.044549060845,15
"27","Isaiah",39,19.2006944318862,67.0769230769231,21.8594109287933,25
"28","Caleb",65.6190476190476,19.0721687033127,35.5238095238095,27.1028025259733,21
"29","Omar",38.3181818181818,17.4339197669818,62.1379310344828,18.5004326936485,22
"30","Deshawn",36.8947368421053,28.91538371187,82.1515151515152,19.5242176733813,19
"31","Dequan",29.2105263157895,19.3751815686644,86.76,15.0838766016344,19
"32","Tariq",40.5454545454545,23.7862050311425,75.8928571428571,21.2399680646239,22
"33","Dyonte",33.6,17.438872833824,78.4444444444444,17.59753399242,15
"34","Deandre",33.1071428571429,14.930305461176,74.6842105263158,20.9685804377908,28
"35","Dremonte",29.8823529411765,22.4885591827855,78.84,23.4941127377335,17
"36","Devajee",37.9545454545455,24.2790861849046,81.2068965517241,17.5384868836364,22
"37","Quan",51.875,28.3146016512093,70.3333333333333,20.8143723239039,16
"38","Ruben",48.2105263157895,17.8934468059257,60.7777777777778,13.2955346575482,19
"39","Qualeek",39.4666666666667,22.4909688133019,75.4324324324324,19.2650237773313,30
"40","Matilda",68.6315789473684,15.7240457273275,23.125,13.7502964394922,19
"41","Lydia",60.2222222222222,20.5127092757165,36.9473684210526,15.1784704404719,18
"42","Envangeline",51.7727272727273,26.9778247882039,43.24,29.2079897744892,22
"43","Victoria",67.0476190476191,18.2879090944706,24.52,21.7507088007111,21
"44","Sylvia",60.75,18.7416648139913,32.6521739130435,16.3779471897487,20
"45","Octavia",52.5384615384615,21.7278268940652,59.9285714285714,22.3240919046012,26
"46","Meredith",70.72,20.1174053993053,19.5172413793103,14.7663243556198,25
"47","Clementine",62.4615384615385,20.95079705968,36.3571428571429,31.052330874626,13
"48","Penelope",66,17.3174691234633,18.4347826086957,18.0625833422589,20
"49","Camilla",54.8947368421053,17.4001747655403,47.6666666666667,23.0766837594428,19
"50","Elizabeth",67.2857142857143,23.1977922686097,24.7058823529412,22.5314990446233,28
"51","Vivan",55.5,20.8069356568566,45.7272727272727,20.2770849275771,22
"52","Elodie",55.75,21.0284894469634,32.3333333333333,28.0523320480372,20
"53","Theodosa",49.8636363636364,21.9594766494699,59.1724137931034,27.0212468855756,22
"54","Candy",37.3684210526316,23.2479641314527,40.7619047619048,24.8574028448363,19
"55","Cherri",42.4210526315789,24.4365750225028,47.4166666666667,28.0184980304808,19
"56","Brandi",42.5,28.2636397750419,59.3846153846154,29.6298186603657,22
"57","Jenny",60.0869565217391,15.4034029400775,24.8214285714286,17.2198283026425,23
"58","Tracy",53.8333333333333,12.2726381458439,32.5,24.5138444848737,18
"59","Syndi",43.1052631578947,20.3221136718986,54.36,27.8281631924686,19
"60","Crissy",50.1904761904762,22.1824684100283,29.375,21.3598821442767,21
"61","Winnie",46.375,24.0846559488383,35.3793103448276,27.2441524434975,24
"62","Bonnie",43.8,28.7998538007985,26.3846153846154,21.0828402699009,20
"63","Arianna",56.1333333333333,26.0956117456739,46.44,27.1017834591502,15
"64","Brianna",54.3333333333333,16.2778898193131,32.875,24.934246863835,12
"65","Erika",55.6190476190476,19.5281237974266,34.5,20.4770487084815,21
"66","Imonni",38.8125,17.0849592722176,76.6363636363636,15.3422710634795,16
"67","Kiara",57,19.5927282428966,60.0454545454545,25.933022288612,17
"68","Jada",33.5333333333333,21.8693087834679,71.7,16.4927416252056,15
"69","Dominique",52,17.8885438199983,71.7619047619048,26.0382502520902,15
"70","Deja",40.6,17.3031788986879,73.695652173913,19.2151331994737,15
"71","Shawntell",28.2727272727273,19.8498694206616,83.7407407407407,15.4287259372115,22
"72","Keisha",39.7,17.8652853616345,72.875,22.2808322077737,20
"73","Falisha",32.4347826086956,20.6701939273933,79.9655172413793,16.633620769438,23
"74","Tamika",41.0714285714286,22.0217545158798,79.6756756756757,16.5463222735683,28
"75","Aisha",43.85,23.6982677581473,69.6764705882353,23.9123660011266,20
"76","Shanainai",32.68,21.6269893111979,79.5526315789474,18.0130543779438,25
"77","Bonquiqui",28.0588235294118,19.4565881780288,79.2916666666667,20.4034932360095,17
"78","Jazeel",39.6842105263158,20.5373714416182,77.2916666666667,18.075876710151,19
"79","Alexandra",62.5789473684211,16.9617733266886,32.7931034482759,20.8024368599053,19
"80","Lauren",71.3684210526316,18.1267467397882,16.7727272727273,12.7985557897378,19
"81","Katherine",67.4375,17.6973397247534,21.1111111111111,13.2393748248032,16
"82","Bronwyn",41.0454545454545,23.8416947159049,58.3846153846154,30.7025431169171,22
"83","Claire",72.8148148148148,13.9670960503525,21.84375,14.6223632858891,27
"84","Jaqueline",67.5,18.7332147089957,36.1666666666667,22.3955090035795,16
"85","Amber",55.25,24.930458836086,29.9,25.0837906171324,28
"86","Heather",64.4375,29.6647237191472,16.25,17.2012086478645,16
"87","Stephanie",55.76,18.7400640340421,30.5151515151515,21.1292469283119,25
"88","Alyssa",64.84,25.45859383391,33.4642857142857,28.2718052756624,25
"89","Harlee",50.9545454545455,25.0342190054358,32.4782608695652,24.6242112291161,22
"90","Taylor",45.4444444444444,25.069837096123,27.8235294117647,18.9843201554521,18
"91","Krysta",40.7368421052632,14.3984648304493,50.7368421052632,23.4493357055001,19
"92","Kelsey",70.2173913043478,24.0717800107382,23.6153846153846,22.8702023131881,23
"93","Savannah",60.05,29.9534287642808,24,19.7049667415531,20
"94","Caylee",58.304347826087,20.5148167798272,41.4615384615385,27.721804803051,23
"95","Caitlyn",69.9655172413793,18.9689271453168,24.0606060606061,23.1812685615178,29
"96","Danika",34.9411764705882,16.8466264732561,74,19.295077092357,17
"97","Makayla",49.7333333333333,27.7732313739756,46.6111111111111,35.7427720194445,15
"98","Tavia",43.75,23.6884937647396,68.8181818181818,27.6864009314464,20
"99","Ora",69.0714285714286,22.9798047983752,42.5333333333333,29.2156187843486,14
"100","Tamaya",36.4090909090909,21.8798865908724,77.3823529411765,16.188313603529,22
"101","Denice",35.45,17.5633440048181,50.7272727272727,24.6830997092223,20
"102","Samara",50.6363636363636,31.1296409464444,67.6666666666667,27.2754904805098,11
"103","Yolanda",46,21.5962959787089,65.9166666666667,16.0968053618457,31
"104","Iyesha",35.55,23.0662090513374,76.8214285714286,24.0463342419628,20
"105","Lashonda",35.1388888888889,28.1741043997881,84.8372093023256,19.4690599872845,36
"106","Cristopher",65.9666666666667,23.7319562431426,34.3333333333333,24.919453578814,30
"107","Benjamin",67.4230769230769,17.758768148547,26.3461538461538,20.0018845265986,26
"108","Xavier",44.125,30.7026057526067,54.6818181818182,27.242100407862,16
"109","Nicholas",67.35,14.3169939508779,26.9230769230769,16.8378694066039,20
"110","Jonathan",68.4117647058823,23.8355271169147,24.1739130434783,18.80196356746,17
"111","Joshua",68.2307692307692,14.5896872604924,26.6666666666667,18.01633245958,13
"112","Alexander",69,25.385449624373,24.8636363636364,17.0916171447694,20
"113","Hakim",59,17.9572141063568,80.4444444444444,18.6239005904406,14
"114","Rasheed",45.05,21.6636367652049,69.0833333333333,21.2703440553246,20
"115","Dewayne",32.3076923076923,16.7015429964282,81.0625,14.3996807760316,26
"116","Alvin",50.6428571428571,25.1322873637054,41.3684210526316,26.1517165918751,14
"117","Kyle",72.3529411764706,13.62874341452,20.1052631578947,16.2100611310181,17
"118","Logan",70.3846153846154,25.5099276803446,16.2777777777778,15.3078432628335,13
"119","Harley",50.5238095238095,14.5795028983126,31.304347826087,16.3496866319947,21
"120","Shawn",53.2727272727273,26.4691930707791,38.8823529411765,28.9738726116763,11
"121","Conner",69.9655172413793,23.1400746365951,17.5806451612903,17.7177391212844,29
"122","Zackary",61.7666666666667,21.6312088289651,33.8275862068966,24.7199586302203,30
"123","Braydon",62.8636363636364,21.9421218198403,40.1666666666667,29.699460786595,22
"124","Brendon",55.5454545454545,22.1159870482166,36.6666666666667,25.809783562367,22
"125","Brylee",52.0434782608696,24.328207087228,39.3478260869565,31.1952920335631,23
"126","Jaysen",31.9411764705882,20.8370780948148,61.65,29.8545156594971,17
"127","Bart",45.9,25.8230822898307,28.0434782608696,22.2270888390916,20
"128","Clem",45.7272727272727,18.5425683179769,37.7083333333333,26.568171815599,22
"129","Trent",56,18.8127616260878,38.6875,27.671386758912,26
"130","Tyler",62.9130434782609,19.2564346824598,33,25.219040425837,23
"131","Ricky",41.55,31.4834543012174,28.7,19.9554767578121,20
"132","Lukas",55.5,22.4353772833477,23.6470588235294,19.6084840581526,14
"133","Andre",48.2272727272727,15.5989371377296,70.8,21.2151675301736,22
"134","Darius",50.1176470588235,19.6782950002699,78.3684210526316,17.3243904055518,17
"135","Malik",55.5294117647059,23.0356182005683,78.96,15.5950846957196,17
"136","Winston",67.2857142857143,23.2057737752469,30.3703703703704,30.5515304264125,28
"137","Dwight",53.7894736842105,23.7664070751798,50.2083333333333,26.6115031790629,19
"138","Byron",59.45,18.9110800159172,39.1,27.3513205685229,20
"139","Elson",67.2608695652174,17.9195611535762,30,22.0777845679446,23
"140","Amari",44.75,19.9232078372514,69.5909090909091,22.6624486780793,20
"141","Darrel",43.2222222222222,25.0212981173464,63.5,29.563490998189,18
"142","Trey",47.2,22.5822473358353,64.9411764705882,27.983697826208,20
"143","Colby",64.3529411764706,20.0029409602394,28.8421052631579,25.08488513006,17
"144","Billy",44.6666666666667,31.5689165355428,25.46,21.2441684675478,39
"145","Kayla",57.2631578947368,16.9859786541506,41.1538461538462,27.1065523847323,38
"146","Jordan",56.7179487179487,21.0762384514044,56.3478260869565,28.5417568495349,39
